Clave municipio,Longitud_avg,Latitud_avg
1,-99.8594545676506,19.94628072325301
2,-98.94614452588766,19.616658173652624
3,-99.83706013240962,20.10661326927711
4,-99.89164836655736,18.86623855213114
5,-99.76039080221855,19.34672090109272
6,-99.48704408040818,19.161236888061215
7,-100.02180022599998,19.2543944246
8,-100.27794003295449,18.689823199886366
9,-98.76677733985515,19.122673771195657
10,-99.1744805942135,19.9708043172472
11,-98.9381591654166,19.574478460568173
12,-99.48834846197528,19.17691816888889
13,-99.24415522859537,19.57920683241059
14,-99.85806844093612,19.79692736139575
15,-98.78240964298612,19.023679210972222
16,-98.72523647345453,19.761850085000003
17,-98.80320117875002,19.128732730625
18,-99.6173299213983,19.177377535550846
19,-99.46352728587499,19.19693696729165
20,-99.0954708485492,19.639928953237714
21,-99.7686236187879,18.924815668989897
22,-98.86498614281248,19.232216996562506
23,-99.20645777426228,19.77694867524591
24,-99.17231376220805,19.672904187189797
25,-98.89173506065352,19.260208327985488
26,-99.59218269790125,19.848019279753085
27,-99.5552104014,19.203324919599996
28,-98.88688158653059,19.55930233357143
29,-98.90753043499356,19.41019199324254
30,-98.89910760500003,19.55823513017729
31,-98.95616684217654,19.419595542616154
32,-100.13727751052635,19.30813444403508
33,-99.03847796968773,19.562240995644075
34,-98.75137596088888,18.957907369111112
35,-99.21285652088896,19.837670357876544
36,-99.03603437263807,19.930955103742335
37,-99.30466709734492,19.393303918300276
38,-99.41738699489798,19.557670761428565
39,-98.89220957021497,19.317268711584983
40,-99.67702878395349,18.843134998511616
41,-100.26581314444445,19.262472090555555
42,-99.79032133030677,19.59733802474195
43,-99.41675012581392,19.180366912325578
44,-99.08374900108333,19.71243643791667
45,-99.54515896838346,19.961666137744352
46,-99.37865343954545,19.5100880575
47,-99.62520984739581,19.57248314354167
48,-99.8267265546789,19.718847175275233
49,-99.52959406934424,19.07560633721312
50,-98.8740131490435,19.097955564956514
51,-99.50029306247268,19.302477421991767
52,-99.4723703607471,18.940602583793087
53,-99.14028951043473,19.707684260821257
54,-99.6010757506794,19.25868452896359
55,-99.58622153605265,19.210935566973685
56,-99.65555463000003,19.745255236538462
57,-99.2544327770692,19.465488760052754
58,-99.0205861616751,19.41449291609509
59,-99.07321840950983,19.73674499196078
60,-99.31272707964396,19.619498940963766
61,-98.70654733211535,19.789025417500003
62,-99.44634596555821,19.270429515558252
63,-99.42228354333332,18.97422363
64,-100.12904422553197,19.799658662127655
65,-98.76879141108694,19.698797124293478
66,-100.29664493333333,19.117211593333334
67,-99.55186296494924,19.42282241589829
68,-98.79556909808608,19.04005624210525
69,-98.85780228741935,19.562738289032257
70,-98.96189066170119,19.361211816576514
71,-99.81462209846153,20.22482881461539
72,-99.58030174250001,19.147138495
73,-99.5668738337313,19.164241332238802
74,-99.95370183662423,19.66583119420384
75,-98.83496008528991,19.704129457753606
76,-99.53422514335055,19.268310161675267
77,-100.00564354,19.022672871999998
78,-100.26264868500002,19.182584302000002
79,-99.52723773605261,20.01813645289473
80,-99.96703303612905,18.859057531290322
81,-98.99335075137527,19.689432752936927
82,-100.16612754849506,18.897396385016723
83,-98.86956082674419,19.203486439302328
84,-98.88522911786518,19.811599669382034
85,-100.00890926658533,19.900408678333342
86,-100.04089159648647,19.04654721837838
87,-99.5868659533064,19.467585826048403
88,-99.58463551063608,18.965467798210767
89,-98.85919446340002,19.154455147600004
90,-99.5927601735977,19.093128352437123
91,-99.17749872099198,19.750821040214497
92,-98.87139079262684,19.681767533880592
93,-98.81659487760417,19.570029950312506
94,-98.82074741421688,19.02286776963855
95,-99.2370791017739,19.71744152904657
96,-99.13598605844663,19.910104255970875
97,-99.9406396880328,18.92981192278689
98,-99.50085838636365,19.131633096136365
99,-98.87476038572832,19.49957698387602
100,-98.93270851068084,19.597983313914902
101,-99.45954522452284,19.180611044668076
102,-99.73487677212121,19.875074041515152
103,-98.78461283445054,19.20794051862638
104,-99.17504778291215,19.536328160813696
105,-100.28629824358973,18.589926952051282
106,-99.64243692639796,19.298809422672164
107,-99.66944043316836,18.804850462277223
108,-99.12458140754595,19.678138503699614
109,-99.14234030795323,19.6298266926465
110,-100.14209103974291,19.189745108084097
111,-100.13622401066667,19.381942978533335
112,-99.46329951210939,19.720260226875
113,-99.65045157743586,18.96208194435898
114,-100.00500109054546,19.443048902181822
115,-99.5201448887726,19.407204779422372
116,-100.25550313461537,19.072154958076922
117,-99.7771977997872,18.71945882297873
118,-99.75022543406557,19.27987599383738
119,-99.58250809214285,18.839127129642858
120,-99.09449743978175,19.80264882618741
121,-99.21301942363462,19.65251802874885
122,-98.9410040859023,19.289142198495842
123,-100.29854822315787,18.92160713389474
124,-100.1291014763158,19.648330118289472
125,-99.05362310921053,19.688030794473686
